production_id,machine_id,product_id,production_datetime,shift,planned_units,produced_units,defective_units
PR00096,M001,P001,2025-08-11 03:00:00,B,754,609,13
PR00097,M006,P003,2025-01-29 09:30:00,A,683,599,25
PR00098,M019,P003,2025-02-10 19:45:00,A,934,938,30
PR00099,M018,P003,2025-08-25 20:30:00,A,770,688,38
PR00100,M015,P014,2025-08-15 11:30:00,B,954,1021,44
PR00101,M010,P001,2025-04-12 12:45:00,C,409,288,17
PR00102,M002,P015,2025-07-22 08:00:00,C,879,887,42
PR00103,M005,P011,2025-09-12 09:15:00,A,921,933,18
PR00104,M012,P012,2025-11-18 20:00:00,A,616,641,4
PR00105,M017,P009,2025-02-16 09:30:00,B,725,597,35
PR00106,M004,P008,2025-03-26 08:45:00,A,602,627,15
PR00107,M015,P006,2025-03-14 07:45:00,C,870,742,26
PR00108,M008,P008,2025-12-11 08:45:00,A,953,1003,11
PR00109,M010,P011,2025-11-14 17:30:00,B,924,799,44
PR00110,M004,P004,2025-03-01 04:00:00,C,338,306,10
PR00111,M005,P015,2025-03-11 12:45:00,B,679,649,18
PR00112,M002,P012,2025-12-02 03:45:00,B,930,722,41
PR00113,M012,P001,2025-04-22 14:45:00,B,541,599,21
PR00114,M020,P001,2025-05-22 06:00:00,A,765,607,10
PR00115,M008,P006,2025-06-20 07:15:00,A,878,718,27
PR00116,M006,P002,2025-11-02 00:30:00,C,448,443,15
PR00117,M002,P003,2025-01-14 04:00:00,C,666,671,10
PR00118,M017,P010,2025-08-04 16:00:00,A,365,356,17
PR00119,M015,P011,2025-08-20 16:15:00,A,929,698,24
PR00120,M015,P002,2025-02-01 15:45:00,A,736,643,21
PR00121,M013,P010,2025-06-14 19:15:00,C,367,248,11
PR00122,M018,P012,2025-05-31 14:45:00,A,401,371,4
PR00123,M014,P006,2025-08-09 14:15:00,C,723,574,6
PR00124,M003,P007,2025-05-11 11:15:00,A,785,595,30
PR00125,M014,P014,2025-07-10 04:00:00,C,900,910,25
PR00126,M005,P011,2025-01-27 09:30:00,B,660,480,16
PR00127,M018,P013,2025-04-25 03:30:00,C,869,744,37
PR00128,M009,P001,2025-11-11 21:00:00,A,923,928,47
PR00129,M003,P003,2025-05-20 22:30:00,C,647,556,23
PR00130,M011,P003,2025-11-21 00:00:00,B,843,690,19
PR00131,M002,P011,2025-06-09 23:30:00,A,881,839,39
PR00132,M007,P013,2025-05-20 14:45:00,C,797,734,20
PR00133,M002,P004,2025-02-28 11:45:00,B,413,322,13
PR00134,M005,P013,2025-11-03 01:00:00,B,509,385,6
PR00135,M008,P009,2025-05-29 10:00:00,C,307,259,9
PR00136,M001,P008,2025-12-09 11:00:00,A,706,735,5
PR00137,M011,P003,2025-06-10 18:45:00,C,887,749,20
PR00138,M014,P010,2025-08-24 22:30:00,B,390,320,3
PR00139,M004,P009,2025-09-26 02:45:00,C,617,621,6
PR00140,M005,P005,2025-04-10 11:30:00,A,960,1033,19
PR00141,M019,P013,2025-03-30 19:15:00,C,971,772,24
PR00142,M016,P008,2025-08-18 21:30:00,C,942,771,23
PR00143,M010,P002,2025-06-05 08:00:00,C,660,582,5
PR00144,M002,P008,2025-02-16 19:45:00,C,773,754,43
PR00145,M011,P012,2025-11-30 06:30:00,A,919,826,9
PR00146,M015,P009,2025-09-16 20:15:00,C,340,285,8
PR00147,M002,P013,2025-11-09 05:30:00,C,681,669,28
PR00148,M010,P005,2025-11-28 10:00:00,C,637,520,22
PR00149,M013,P003,2025-12-03 19:15:00,C,641,440,10
PR00150,M005,P011,2025-12-29 02:30:00,C,872,679,33
PR00151,M007,P006,2025-12-17 16:00:00,B,961,917,20
PR00152,M004,P009,2025-04-09 07:15:00,C,458,342,18
PR00153,M020,P013,2025-09-27 01:30:00,A,932,700,36
PR00154,M015,P010,2025-08-13 01:45:00,B,673,663,12
PR00155,M019,P008,2025-08-18 07:15:00,B,616,674,11
PR00156,M005,P014,2025-05-25 12:45:00,B,465,398,20
PR00157,M010,P002,2025-01-27 20:45:00,A,680,679,35
PR00158,M015,P015,2025-05-20 14:15:00,B,747,603,33
PR00159,M001,P006,2025-01-14 13:00:00,A,705,645,17
PR00160,M016,P012,2025-11-29 10:15:00,A,440,435,24
PR00161,M018,P012,2025-12-28 15:45:00,C,930,695,35
PR00162,M008,P007,2025-09-28 13:00:00,C,595,492,6
PR00163,M019,P004,2025-11-15 14:00:00,C,413,378,15
PR00164,M014,P003,2025-03-15 09:45:00,C,301,283,5
PR00165,M001,P007,2025-12-09 02:30:00,B,369,333,11
PR00166,M003,P006,2025-01-23 20:45:00,A,682,536,3
PR00167,M006,P014,2025-12-03 20:00:00,C,895,876,31
PR00168,M015,P001,2025-08-26 22:45:00,B,946,752,9
PR00169,M016,P005,2025-04-14 01:15:00,A,342,272,14
PR00170,M011,P005,2025-11-28 06:30:00,A,665,718,5
PR00171,M016,P006,2025-07-08 13:45:00,C,750,710,23
PR00172,M006,P009,2025-05-17 02:45:00,B,380,394,24
PR00173,M015,P006,2025-06-14 03:00:00,B,635,592,17
PR00174,M002,P002,2025-01-22 23:30:00,C,929,1047,21
PR00175,M020,P011,2025-11-23 12:30:00,B,825,795,10
PR00176,M013,P010,2025-01-18 04:00:00,A,541,463,12
PR00177,M013,P006,2025-11-06 04:45:00,C,679,584,20
PR00178,M013,P015,2025-05-23 07:00:00,C,326,275,9
PR00179,M007,P002,2025-03-02 08:30:00,A,756,562,34
PR00180,M011,P011,2025-02-07 14:15:00,B,755,780,39
PR00181,M012,P009,2025-12-30 02:30:00,A,607,604,24
PR00182,M018,P010,2025-03-04 06:15:00,B,542,467,3
PR00183,M016,P009,2025-08-28 17:15:00,B,926,994,44
PR00184,M015,P008,2025-07-29 18:00:00,C,428,472,19
PR00185,M002,P014,2025-09-22 11:15:00,A,864,859,25
PR00186,M008,P006,2025-09-23 04:30:00,C,468,447,25
PR00187,M018,P002,2025-05-26 02:30:00,C,501,458,10
PR00188,M020,P006,2025-11-25 05:15:00,C,475,449,20
PR00189,M019,P007,2025-01-22 00:00:00,C,346,371,6
PR00190,M010,P008,2025-11-24 00:45:00,A,942,836,34
PR00191,M007,P006,2025-12-17 12:30:00,C,764,605,19
PR00192,M012,P009,2025-03-15 10:30:00,C,653,713,9
PR00193,M013,P014,2025-02-24 10:15:00,C,777,575,4
PR00194,M007,P013,2025-08-03 07:15:00,A,635,677,30
PR00195,M015,P004,2025-09-13 16:45:00,A,810,824,22
PR00196,M016,P005,2025-10-26 11:00:00,C,351,289,11
PR00197,M013,P001,2025-01-05 03:45:00,C,437,445,11
PR00198,M015,P013,2025-10-15 06:30:00,C,866,655,17
PR00199,M012,P013,2025-05-24 19:00:00,A,431,413,10
PR00200,M011,P013,2025-04-12 19:45:00,B,812,635,5
PR00201,M013,P010,2025-09-23 14:15:00,C,920,1010,23
PR00202,M019,P005,2025-06-03 18:30:00,B,819,896,31
PR00203,M001,P010,2025-01-09 11:30:00,B,989,725,39
PR00204,M020,P013,2025-05-16 20:15:00,B,352,342,5
PR00205,M014,P003,2025-03-17 21:15:00,B,332,301,9
PR00206,M002,P012,2025-12-20 06:45:00,A,813,790,44
PR00207,M018,P006,2025-09-23 06:30:00,C,978,810,25
PR00208,M009,P009,2025-07-01 21:30:00,B,924,888,51
PR00209,M009,P005,2025-04-26 09:30:00,A,512,456,16
PR00210,M005,P005,2025-10-21 21:45:00,A,704,717,41
PR00211,M018,P005,2025-05-28 22:00:00,C,654,656,11
PR00212,M008,P001,2025-12-23 08:15:00,C,411,339,13
PR00213,M005,P001,2025-09-29 07:15:00,C,353,248,11
PR00214,M010,P006,2025-03-22 13:45:00,B,788,787,37
PR00215,M006,P007,2025-11-27 01:00:00,A,967,841,48
PR00216,M010,P015,2025-01-19 12:45:00,A,490,506,29
PR00217,M005,P014,2025-01-05 09:00:00,C,643,573,18
PR00218,M009,P012,2025-08-28 08:15:00,A,415,345,16
PR00219,M013,P014,2025-01-08 23:30:00,B,602,557,29
PR00220,M005,P008,2025-09-21 10:00:00,B,710,661,10
PR00221,M019,P001,2025-05-08 00:30:00,B,692,559,12
PR00222,M006,P007,2025-12-01 11:15:00,C,363,262,8
PR00223,M005,P008,2025-09-15 22:30:00,A,420,430,7
PR00224,M018,P013,2025-08-21 23:30:00,C,725,693,38
PR00225,M002,P014,2025-04-22 07:00:00,C,838,734,26
PR00226,M004,P011,2025-09-16 06:15:00,A,468,379,13
PR00227,M019,P001,2025-10-26 15:00:00,C,822,741,21
PR00228,M007,P010,2025-08-25 21:30:00,A,322,284,14
PR00229,M016,P001,2025-01-24 13:30:00,B,365,403,24
PR00230,M014,P006,2025-07-29 05:15:00,B,956,1052,43
PR00231,M012,P002,2025-08-18 12:45:00,A,382,346,14
PR00232,M010,P008,2025-10-03 12:15:00,C,528,502,23
PR00233,M004,P001,2025-10-06 13:45:00,C,535,417,24
PR00234,M002,P008,2025-08-03 19:00:00,C,546,457,5
PR00235,M002,P003,2025-12-11 22:00:00,C,550,522,9
PR00236,M011,P004,2025-05-29 07:30:00,B,891,848,36
PR00237,M006,P011,2025-03-15 21:15:00,C,723,678,36
PR00238,M013,P013,2025-08-07 17:45:00,C,348,404,23
PR00239,M008,P005,2025-06-13 22:45:00,C,718,514,16
PR00240,M017,P003,2025-03-15 14:00:00,B,875,801,22
PR00241,M007,P001,2025-05-05 08:15:00,B,638,668,7
PR00242,M018,P004,2025-07-13 21:00:00,B,374,263,12
PR00243,M016,P015,2025-04-17 10:30:00,A,315,272,13
PR00244,M010,P007,2025-12-23 19:15:00,B,706,794,28
PR00245,M016,P013,2025-10-01 20:30:00,B,615,460,5
PR00246,M005,P001,2025-04-15 11:30:00,B,723,529,28
PR00247,M016,P009,2025-10-11 18:45:00,C,602,450,23
PR00248,M016,P008,2025-12-17 10:30:00,A,800,884,36
PR00249,M002,P009,2025-06-30 05:15:00,A,859,807,33
PR00250,M008,P002,2025-02-08 21:00:00,C,306,244,13
PR00251,M016,P011,2025-03-19 00:15:00,B,817,769,43
PR00252,M018,P005,2025-01-09 00:45:00,A,312,245,11
PR00253,M017,P005,2025-09-15 22:45:00,B,483,383,6
PR00254,M008,P012,2025-05-17 12:00:00,A,682,738,22
PR00255,M013,P009,2025-06-03 21:00:00,B,969,1038,28
PR00256,M011,P010,2025-01-29 20:00:00,A,475,349,18
PR00257,M003,P011,2025-09-28 01:15:00,B,516,523,10
PR00258,M007,P010,2025-10-06 18:00:00,A,483,467,10
PR00259,M018,P006,2025-12-31 12:00:00,B,606,476,13
PR00260,M004,P007,2025-03-13 22:00:00,A,812,869,21
PR00261,M012,P009,2025-02-08 10:45:00,B,634,447,14
PR00262,M008,P012,2025-08-10 05:45:00,A,387,495,11
PR00263,M004,P002,2025-02-12 08:15:00,A,689,634,14
PR00264,M014,P008,2025-06-07 14:30:00,C,576,393,4
PR00265,M011,P014,2025-10-12 16:45:00,B,405,286,11
PR00266,M018,P015,2025-01-07 09:45:00,A,697,710,32
PR00267,M006,P007,2025-10-20 16:15:00,B,689,535,7
PR00268,M016,P010,2025-08-04 09:45:00,C,378,349,20
PR00269,M011,P008,2025-04-11 14:00:00,B,438,393,15
PR00270,M007,P008,2025-08-09 20:15:00,B,607,497,28
PR00271,M011,P007,2025-04-01 12:30:00,B,598,527,25
PR00272,M006,P011,2025-07-21 11:00:00,C,877,627,38
PR00273,M014,P011,2025-01-14 23:45:00,B,514,437,22
PR00274,M014,P013,2025-03-13 20:30:00,B,547,496,7
PR00275,M018,P001,2025-02-07 14:45:00,B,896,696,30
PR00276,M012,P003,2025-12-26 17:00:00,C,411,406,17
PR00277,M017,P012,2025-11-10 01:45:00,C,639,678,13
PR00278,M019,P012,2025-10-13 18:15:00,C,756,648,20
PR00279,M005,P006,2025-03-19 11:00:00,B,794,524,6
PR00280,M015,P012,2025-06-25 14:15:00,C,833,790,25
PR00281,M004,P011,2025-08-20 10:00:00,A,607,445,11
PR00282,M015,P004,2025-05-05 16:15:00,B,865,665,24
PR00283,M015,P010,2025-11-19 05:15:00,B,955,868,46
PR00284,M003,P010,2025-07-19 00:15:00,A,510,453,20
PR00285,M011,P010,2025-10-02 05:30:00,B,633,540,17
PR00286,M006,P014,2025-11-09 12:00:00,C,656,590,18
PR00287,M005,P009,2025-12-28 09:00:00,B,988,781,12
PR00288,M018,P012,2025-08-03 19:15:00,C,888,782,12
PR00289,M012,P001,2025-03-30 17:15:00,B,801,686,27
PR00290,M016,P007,2025-03-11 06:45:00,C,875,851,27
PR00291,M008,P009,2025-08-16 15:15:00,B,384,362,2
PR00292,M009,P013,2025-03-28 14:45:00,C,862,755,28
PR00293,M008,P005,2025-07-07 17:00:00,A,751,705,36
PR00294,M008,P004,2025-08-19 08:30:00,C,389,341,20
PR00295,M007,P013,2025-10-29 22:30:00,A,924,885,14
PR00296,M010,P005,2025-10-19 11:30:00,C,911,849,19
PR00297,M005,P012,2025-05-17 16:00:00,A,438,485,29
PR00298,M016,P003,2025-05-08 04:30:00,C,553,473,20
PR00299,M017,P012,2025-11-20 08:45:00,B,684,556,6
PR00300,M003,P012,2025-12-22 11:45:00,B,799,616,3
PR00301,M016,P005,2025-11-22 21:30:00,B,364,293,15
PR00302,M002,P001,2025-05-26 10:15:00,A,879,958,46
PR00303,M014,P004,2025-11-17 14:00:00,C,427,471,28
PR00304,M003,P011,2025-03-09 20:30:00,B,462,510,27
PR00305,M008,P007,2025-05-09 02:30:00,C,980,1042,23
PR00306,M019,P004,2025-02-16 22:00:00,C,301,270,3
PR00307,M005,P008,2025-12-15 14:00:00,A,308,342,10
PR00308,M010,P003,2025-04-28 12:00:00,B,404,211,5
PR00309,M007,P011,2025-03-10 20:15:00,C,370,388,11
PR00310,M004,P010,2025-03-19 13:45:00,C,522,395,4
PR00311,M020,P010,2025-07-16 11:45:00,C,622,626,12
PR00312,M020,P009,2025-11-08 09:00:00,A,974,1059,17
PR00313,M017,P015,2025-07-20 09:00:00,A,545,521,20
PR00314,M012,P009,2025-07-04 10:15:00,C,696,744,27
PR00315,M013,P009,2025-03-30 15:00:00,B,317,320,18
PR00316,M018,P009,2025-11-18 22:45:00,C,733,715,7
PR00317,M011,P007,2025-03-20 08:00:00,C,617,545,7
PR00318,M008,P001,2025-11-21 20:00:00,A,617,554,25
PR00319,M006,P002,2025-02-14 13:00:00,A,764,767,32
PR00320,M017,P013,2025-12-29 04:00:00,C,467,437,11
PR00321,M001,P006,2025-05-13 05:30:00,B,429,465,5
PR00322,M003,P008,2025-05-20 16:00:00,B,569,515,19
PR00323,M019,P011,2025-09-19 11:00:00,C,811,845,40
PR00324,M002,P008,2025-03-01 07:00:00,B,345,373,2
PR00325,M011,P004,2025-07-16 04:15:00,B,336,358,10
PR00326,M002,P003,2025-06-13 08:00:00,A,885,726,24
PR00327,M003,P009,2025-09-22 01:45:00,B,370,423,9
PR00328,M020,P004,2025-01-05 11:15:00,B,598,507,11
PR00329,M014,P001,2025-07-08 18:45:00,A,500,432,6
PR00330,M010,P002,2025-10-05 11:00:00,A,643,445,18
PR00331,M002,P015,2025-09-29 07:45:00,A,803,875,18
PR00332,M004,P009,2025-09-24 13:30:00,A,769,820,8
PR00333,M009,P014,2025-11-23 12:00:00,B,906,755,14
PR00334,M007,P003,2025-07-21 22:30:00,C,625,588,10
PR00335,M007,P008,2025-02-25 04:00:00,B,468,406,10
PR00336,M020,P001,2025-08-26 08:00:00,A,392,321,14
PR00337,M006,P001,2025-06-17 04:00:00,B,554,583,12
PR00338,M005,P002,2025-08-20 17:15:00,A,396,358,18
PR00339,M019,P010,2025-02-01 07:15:00,B,502,476,19
PR00340,M005,P002,2025-02-08 00:00:00,B,502,560,16
PR00341,M001,P007,2025-03-04 01:45:00,C,351,216,6
PR00342,M015,P015,2025-08-07 05:30:00,A,519,514,10
PR00343,M009,P007,2025-01-18 19:15:00,A,962,757,6
PR00344,M001,P007,2025-08-03 06:15:00,C,945,1042,36
PR00345,M011,P010,2025-07-03 15:45:00,A,652,649,10
PR00346,M008,P003,2025-01-16 08:00:00,A,783,712,34
PR00347,M008,P010,2025-05-07 21:15:00,B,572,536,25
PR00348,M012,P015,2025-07-01 05:15:00,C,542,451,22
PR00349,M016,P009,2025-01-15 22:30:00,B,881,792,47
PR00350,M001,P009,2025-03-31 15:00:00,B,392,281,11
PR00351,M002,P001,2025-01-01 10:15:00,A,433,393,21
PR00352,M003,P006,2025-10-28 22:15:00,C,413,480,25
PR00353,M016,P011,2025-12-06 12:00:00,B,644,547,31
PR00354,M013,P005,2025-03-31 22:30:00,C,528,522,26
PR00355,M019,P001,2025-12-19 09:15:00,A,481,553,15
PR00356,M005,P006,2025-11-05 10:15:00,C,954,854,48
PR00357,M011,P008,2025-02-09 07:30:00,A,627,501,22
PR00358,M001,P001,2025-05-16 06:15:00,B,369,302,15
PR00359,M004,P014,2025-08-13 23:45:00,B,470,454,16
PR00360,M002,P005,2025-10-23 20:15:00,A,466,413,20
PR00361,M003,P006,2025-06-13 08:00:00,C,375,332,3
PR00362,M014,P003,2025-11-11 15:00:00,A,741,772,11
PR00363,M010,P005,2025-02-21 10:15:00,A,494,353,12
PR00364,M002,P006,2025-02-19 01:45:00,A,885,786,25
PR00365,M010,P002,2025-08-07 02:30:00,B,977,908,15
PR00366,M003,P011,2025-03-01 09:45:00,C,782,703,29
PR00367,M008,P014,2025-07-18 05:30:00,B,690,563,17
PR00368,M018,P007,2025-10-16 01:15:00,C,983,751,31
PR00369,M016,P010,2025-04-27 17:00:00,A,696,668,35
PR00370,M017,P010,2025-09-01 09:00:00,C,704,757,34
PR00371,M007,P013,2025-10-20 21:15:00,A,423,368,5
PR00372,M005,P014,2025-03-06 01:45:00,C,380,436,13
PR00373,M015,P015,2025-05-13 10:00:00,A,389,310,6
PR00374,M019,P010,2025-12-25 19:45:00,A,415,379,5
PR00375,M016,P010,2025-02-24 18:00:00,C,592,663,13
PR00376,M013,P001,2025-08-31 01:15:00,B,582,454,18
PR00377,M010,P005,2025-06-19 22:15:00,B,350,412,3
PR00378,M015,P013,2025-09-09 22:00:00,B,533,374,22
PR00379,M016,P013,2025-05-18 23:45:00,C,919,884,44
PR00380,M005,P013,2025-07-11 01:15:00,C,367,328,11
PR00381,M002,P015,2025-10-19 00:15:00,B,497,518,4
PR00382,M004,P011,2025-12-27 06:30:00,A,677,700,23
PR00383,M012,P003,2025-05-04 11:45:00,B,908,838,30
PR00384,M019,P013,2025-12-19 02:30:00,A,328,272,4
PR00385,M001,P008,2025-04-24 20:15:00,A,993,765,40
PR00386,M010,P012,2025-11-28 05:00:00,C,529,395,19
PR00387,M017,P014,2025-11-26 08:45:00,C,685,679,15
PR00388,M012,P009,2025-07-23 18:00:00,C,307,284,12
PR00389,M011,P014,2025-11-01 19:30:00,B,605,553,11
PR00390,M002,P013,2025-05-14 20:30:00,C,492,384,18
PR00391,M014,P007,2025-07-26 21:30:00,B,997,809,17
PR00392,M018,P011,2025-01-19 18:15:00,B,651,646,11
PR00393,M005,P012,2025-12-10 11:30:00,B,474,501,5
PR00394,M010,P007,2025-10-14 05:30:00,B,970,714,18
PR00395,M020,P002,2025-07-10 08:30:00,B,774,725,27
PR00396,M002,P014,2025-04-10 16:00:00,A,997,868,19
PR00397,M006,P013,2025-03-12 06:30:00,A,719,854,11
PR00398,M009,P004,2025-09-07 10:15:00,A,620,524,3
PR00399,M016,P007,2025-10-23 05:45:00,A,390,265,8
PR00400,M017,P004,2025-01-20 17:15:00,A,682,739,40
PR00401,M019,P005,2025-12-13 00:15:00,A,531,505,13
PR00402,M017,P006,2025-02-03 01:30:00,B,597,543,18
PR00403,M013,P001,2025-12-18 04:30:00,A,801,712,40
PR00404,M006,P002,2025-04-25 23:15:00,B,516,587,22
PR00405,M002,P011,2025-12-31 20:00:00,A,684,707,5
PR00406,M018,P005,2025-12-01 00:00:00,B,418,407,11
PR00407,M020,P010,2025-12-26 04:15:00,C,945,669,22
PR00408,M004,P013,2025-03-12 13:00:00,A,823,813,9
PR00409,M006,P001,2025-09-12 06:15:00,C,569,612,17
PR00410,M003,P015,2025-09-12 06:45:00,A,638,508,3
PR00411,M009,P011,2025-10-21 21:45:00,A,452,482,22
PR00412,M002,P014,2025-08-22 09:30:00,B,775,558,28
PR00413,M005,P011,2025-07-04 21:30:00,C,736,774,6
PR00414,M003,P006,2025-03-29 10:30:00,B,748,829,16
PR00415,M014,P011,2025-04-04 03:45:00,A,709,751,39
PR00416,M016,P013,2025-02-27 04:00:00,C,463,385,21
PR00417,M005,P008,2025-12-14 14:15:00,B,925,787,34
PR00418,M001,P012,2025-02-27 13:45:00,C,347,264,11
PR00419,M014,P011,2025-09-26 23:15:00,C,985,966,38
PR00420,M018,P015,2025-05-08 15:30:00,C,979,937,25
PR00421,M016,P006,2025-01-28 00:15:00,A,817,880,8
PR00422,M013,P014,2025-06-19 08:00:00,A,819,599,24
PR00423,M016,P012,2025-02-10 14:45:00,C,886,804,9
PR00424,M003,P013,2025-01-10 03:45:00,C,722,499,18
PR00425,M002,P014,2025-11-13 20:30:00,A,820,735,17
PR00426,M004,P013,2025-08-21 10:45:00,C,972,795,24
PR00427,M004,P001,2025-04-24 00:30:00,A,663,704,24
PR00428,M004,P015,2025-09-10 04:45:00,B,409,325,5
PR00429,M019,P002,2025-04-21 14:15:00,B,646,421,21
PR00430,M018,P015,2025-08-23 21:15:00,B,810,625,28
PR00431,M020,P015,2025-10-27 15:15:00,B,892,705,29
PR00432,M009,P007,2025-09-16 12:45:00,B,923,954,45
PR00433,M018,P014,2025-05-31 14:15:00,B,441,365,8
PR00434,M012,P015,2025-12-31 23:15:00,C,505,346,15
