maintenance_id,machine_id,maintenance_date,maintenance_type,maintenance_cost
MT00061,M008,2025-11-10,Inspection,241.75
MT00062,M014,2025-04-11,Corrective,1563.22
MT00063,M013,2025-04-18,Corrective,1496.21
MT00064,M017,2025-09-29,Preventive,229.79
MT00065,M014,2025-08-18,Preventive,778.4
MT00066,M013,2025-02-22,Emergency,2394.37
MT00067,M002,2025-03-14,Preventive,469.25
MT00068,M020,2025-11-22,Corrective,894.82
MT00069,M008,2025-10-06,Emergency,3931.02
MT00070,M019,2025-07-04,Preventive,542.36
MT00071,M017,2025-01-13,Preventive,316.17
MT00072,M007,2025-11-02,Preventive,754.21
MT00073,M020,2025-05-29,Preventive,621.05
MT00074,M015,2025-01-30,Corrective,723.33
MT00075,M014,2025-03-20,Preventive,270.31
MT00076,M015,2025-02-15,Inspection,209.33
MT00077,M015,2025-08-22,Corrective,2093.73
MT00078,M015,2025-10-03,Inspection,294.62
MT00079,M016,2025-04-28,Corrective,558.0
MT00080,M002,2025-02-04,Emergency,2435.53
MT00081,M014,2025-10-23,Preventive,475.9
MT00082,M008,2025-10-21,Inspection,149.51
MT00083,M016,2025-07-05,Preventive,332.41
MT00084,M009,2025-12-09,Preventive,241.19
MT00085,M008,2025-03-02,Preventive,307.05
MT00086,M016,2025-05-24,Emergency,2992.39
MT00087,M017,2025-07-19,Preventive,498.75
MT00088,M018,2025-11-07,Preventive,685.49
MT00089,M005,2025-07-21,Preventive,527.21
MT00090,M012,2025-01-11,Preventive,781.63
MT00091,M013,2025-04-04,Preventive,701.51
MT00092,M016,2025-11-03,Corrective,2007.51
MT00093,M017,2025-07-23,Corrective,1077.88
MT00094,M018,2025-01-06,Corrective,2350.37
MT00095,M008,2025-12-28,Preventive,480.28
MT00096,M017,2025-12-31,Corrective,2027.04
MT00097,M020,2025-01-05,Preventive,677.67
MT00098,M019,2025-09-19,Preventive,254.68
MT00099,M011,2025-12-24,Emergency,3760.35
MT00100,M009,2025-06-17,Preventive,550.62
MT00101,M015,2025-06-08,Corrective,1970.04
MT00102,M016,2025-06-26,Corrective,1186.89
MT00103,M011,2025-04-26,Inspection,155.15
MT00104,M020,2025-07-15,Inspection,260.91
MT00105,M016,2025-02-21,Corrective,1448.88
MT00106,M015,2025-10-21,Corrective,1358.7
MT00107,M014,2025-03-18,Preventive,349.86
MT00108,M003,2025-07-13,Corrective,1988.03
MT00109,M008,2025-06-15,Emergency,4799.21
MT00110,M001,2025-01-06,Preventive,238.28
MT00111,M016,2025-07-06,Corrective,2168.98
MT00112,M014,2025-11-10,Corrective,1856.97
MT00113,M002,2025-05-05,Inspection,367.08
MT00114,M008,2025-02-25,Preventive,716.05
MT00115,M001,2025-07-13,Corrective,645.73
MT00116,M003,2025-08-11,Corrective,725.38
MT00117,M001,2025-01-20,Corrective,514.79
MT00118,M020,2025-07-26,Corrective,1836.57
MT00119,M012,2025-06-28,Preventive,753.16
MT00120,M006,2025-04-23,Inspection,356.78
MT00121,M012,2025-05-13,Preventive,763.51
MT00122,M006,2025-06-23,Preventive,232.66
MT00123,M018,2025-06-05,Corrective,2469.78
MT00124,M003,2025-06-08,Preventive,273.2
MT00125,M003,2025-10-20,Corrective,2310.87
MT00126,M007,2025-07-25,Corrective,838.08
MT00127,M003,2025-01-27,Preventive,355.94
MT00128,M002,2025-10-26,Preventive,463.06
MT00129,M014,2025-06-28,Corrective,1655.25
MT00130,M014,2025-12-29,Preventive,684.44
MT00131,M004,2025-04-17,Preventive,573.01
MT00132,M017,2025-02-02,Inspection,352.51
MT00133,M017,2025-05-30,Preventive,571.28
MT00134,M007,2025-02-02,Corrective,2461.15
MT00135,M020,2025-12-18,Preventive,298.98
MT00136,M009,2025-09-29,Preventive,354.08
MT00137,M017,2025-10-07,Preventive,528.95
MT00138,M013,2025-10-25,Inspection,123.19
MT00139,M008,2025-10-23,Emergency,1029.78
MT00140,M010,2025-11-25,Preventive,186.67
MT00141,M012,2025-03-15,Preventive,180.77
MT00142,M018,2025-07-16,Inspection,379.42
MT00143,M005,2025-02-24,Corrective,1770.48
MT00144,M018,2025-01-28,Preventive,380.03
MT00145,M011,2025-09-28,Corrective,953.23
MT00146,M009,2025-10-10,Preventive,327.02
MT00147,M008,2025-01-08,Corrective,1541.59
MT00148,M010,2025-08-08,Preventive,448.39
MT00149,M016,2025-11-15,Inspection,285.27
MT00150,M012,2025-01-27,Corrective,932.32
MT00151,M016,2025-08-23,Preventive,174.01
MT00152,M008,2025-07-24,Preventive,167.84
MT00153,M013,2025-01-25,Inspection,398.91
MT00154,M010,2025-10-27,Corrective,971.65
MT00155,M012,2025-07-20,Inspection,83.36
MT00156,M008,2025-02-19,Preventive,746.03
MT00157,M012,2025-01-27,Preventive,708.84
MT00158,M012,2025-08-10,Inspection,89.31
MT00159,M017,2025-06-28,Corrective,2190.4
MT00160,M015,2025-11-26,Preventive,428.33
MT00161,M019,2025-09-06,Corrective,846.8
MT00162,M008,2025-09-01,Corrective,1625.64
MT00163,M009,2025-11-05,Preventive,296.74
MT00164,M019,2025-03-19,Inspection,93.33
MT00165,M005,2025-04-08,Preventive,203.72
MT00166,M013,2025-10-18,Corrective,2096.86
MT00167,M001,2025-01-10,Corrective,689.98
MT00168,M009,2025-08-05,Emergency,2988.36
MT00169,M008,2025-06-07,Preventive,259.42
MT00170,M019,2025-02-21,Preventive,181.97
MT00171,M005,2025-08-12,Corrective,892.56
MT00172,M018,2025-08-19,Preventive,220.89
MT00173,M008,2025-04-23,Emergency,1029.74
MT00174,M009,2025-10-03,Preventive,390.5
MT00175,M018,2025-03-25,Preventive,748.89
MT00176,M013,2025-01-07,Preventive,290.96
MT00177,M006,2025-04-11,Corrective,1481.44
MT00178,M012,2025-05-16,Corrective,1275.38
MT00179,M018,2025-07-26,Emergency,2570.74
MT00180,M011,2025-09-30,Preventive,748.11
MT00181,M012,2025-01-21,Preventive,739.82
MT00182,M007,2025-10-22,Corrective,1543.4
MT00183,M012,2025-06-17,Corrective,2216.83
MT00184,M011,2025-01-28,Emergency,2078.24
MT00185,M011,2025-12-17,Corrective,1353.52
MT00186,M002,2025-02-24,Corrective,2418.9
MT00187,M009,2025-08-21,Corrective,1700.37
MT00188,M017,2025-02-24,Inspection,393.56
MT00189,M004,2025-02-28,Preventive,770.86
MT00190,M003,2025-05-19,Preventive,727.59
MT00191,M009,2025-12-03,Corrective,632.1
MT00192,M014,2025-02-17,Preventive,747.16
MT00193,M013,2025-08-01,Inspection,205.08
MT00194,M010,2025-10-02,Corrective,2199.01
MT00195,M008,2025-06-10,Corrective,2032.28
MT00196,M008,2025-11-21,Corrective,1445.01
MT00197,M012,2025-09-12,Preventive,542.92
MT00198,M002,2025-06-30,Corrective,754.24
MT00199,M005,2025-04-28,Preventive,301.44
MT00200,M014,2025-10-15,Preventive,267.65
MT00201,M009,2025-07-15,Preventive,481.74
MT00202,M004,2025-06-08,Corrective,1505.63
MT00203,M013,2025-07-20,Preventive,726.22
MT00204,M013,2025-10-08,Corrective,857.64
MT00205,M002,2025-06-21,Corrective,1784.33
MT00206,M012,2025-04-16,Preventive,203.34
MT00207,M007,2025-04-13,Preventive,374.58
MT00208,M015,2025-02-28,Inspection,366.94
MT00209,M010,2025-03-25,Corrective,1397.12
MT00210,M019,2025-06-02,Preventive,662.67
MT00211,M006,2025-08-17,Preventive,297.33
MT00212,M004,2025-11-14,Inspection,234.43
MT00213,M014,2025-07-14,Preventive,512.42
MT00214,M018,2025-03-29,Preventive,371.73
MT00215,M009,2025-09-25,Emergency,3646.11
MT00216,M011,2025-03-03,Preventive,602.54
MT00217,M001,2025-12-15,Corrective,1508.22
MT00218,M001,2025-06-07,Preventive,712.42
MT00219,M005,2025-04-10,Corrective,1606.88
MT00220,M016,2025-08-03,Preventive,375.69
MT00221,M019,2025-06-24,Preventive,521.63
MT00222,M017,2025-01-29,Preventive,733.84
MT00223,M011,2025-05-29,Preventive,230.81
MT00224,M011,2025-09-17,Preventive,319.46
MT00225,M005,2025-06-10,Preventive,338.11
MT00226,M017,2025-07-08,Emergency,4832.76
MT00227,M009,2025-05-02,Preventive,153.94
MT00228,M003,2025-08-07,Inspection,294.67
MT00229,M013,2025-01-25,Inspection,160.61
MT00230,M011,2025-03-02,Preventive,288.02
MT00231,M012,2025-05-06,Corrective,2170.61
MT00232,M012,2025-01-11,Preventive,397.76
MT00233,M004,2025-02-18,Preventive,396.74
MT00234,M012,2025-06-02,Emergency,4524.36
MT00235,M014,2025-04-27,Preventive,732.12
MT00236,M020,2025-09-23,Preventive,207.61
MT00237,M016,2025-05-17,Preventive,479.44
MT00238,M016,2025-01-08,Corrective,633.68
MT00239,M004,2025-07-11,Corrective,1779.67
MT00240,M004,2025-06-03,Emergency,2246.51
MT00241,M019,2025-07-03,Preventive,707.15
MT00242,M018,2025-11-30,Preventive,653.62
MT00243,M007,2025-10-05,Corrective,1205.69
MT00244,M015,2025-01-19,Emergency,1699.36
MT00245,M003,2025-07-21,Preventive,699.19
MT00246,M009,2025-09-22,Preventive,306.81
MT00247,M003,2025-09-24,Corrective,1203.5
MT00248,M005,2025-10-04,Preventive,707.44
MT00249,M001,2025-03-28,Emergency,4292.72
MT00250,M001,2025-11-06,Preventive,661.97
MT00251,M011,2025-07-17,Preventive,152.08
MT00252,M013,2025-01-12,Corrective,1810.29
MT00253,M004,2025-05-14,Preventive,588.15
MT00254,M003,2025-11-11,Preventive,695.11
MT00255,M002,2025-09-03,Preventive,168.54
MT00256,M013,2025-09-10,Corrective,902.23
MT00257,M015,2025-03-13,Inspection,138.67
MT00258,M008,2025-04-16,Inspection,346.47
MT00259,M002,2025-11-10,Inspection,163.75
MT00260,M013,2025-04-17,Preventive,728.89
MT00261,M009,2025-06-19,Corrective,1375.09
MT00262,M005,2025-07-02,Preventive,256.8
MT00263,M009,2025-12-03,Emergency,3358.82
MT00264,M012,2025-01-27,Emergency,4444.86
MT00265,M007,2025-10-16,Corrective,2014.62
MT00266,M012,2025-07-09,Preventive,676.08
MT00267,M005,2025-10-28,Preventive,423.53
MT00268,M002,2025-11-21,Preventive,614.76
MT00269,M015,2025-11-09,Corrective,728.3
MT00270,M011,2025-05-11,Inspection,108.71
MT00271,M004,2025-12-02,Corrective,2325.41
MT00272,M003,2025-07-18,Preventive,545.21
MT00273,M014,2025-02-15,Corrective,1171.09
MT00274,M006,2025-06-08,Corrective,1866.08
MT00275,M006,2025-05-28,Inspection,216.97
MT00276,M018,2025-01-22,Preventive,639.11
MT00277,M006,2025-10-22,Corrective,797.61
MT00278,M015,2025-05-13,Preventive,545.99
MT00279,M020,2025-11-12,Preventive,357.48
MT00280,M018,2025-10-21,Preventive,517.4
MT00281,M016,2025-03-21,Preventive,331.17
MT00282,M020,2025-09-06,Preventive,326.01
MT00283,M013,2025-08-16,Corrective,1169.06
MT00284,M017,2025-02-22,Preventive,587.58
MT00285,M014,2025-11-13,Corrective,823.88
MT00286,M014,2025-04-07,Preventive,425.22
MT00287,M003,2025-08-21,Preventive,627.88
MT00288,M003,2025-02-10,Preventive,309.5
MT00289,M017,2025-11-26,Inspection,237.76
MT00290,M009,2025-04-18,Corrective,774.96
MT00291,M017,2025-06-04,Preventive,289.41
MT00292,M011,2025-06-21,Preventive,640.44
MT00293,M017,2025-08-21,Preventive,492.15
MT00294,M014,2025-11-18,Preventive,725.62
MT00295,M005,2025-04-13,Corrective,1160.24
MT00296,M007,2025-07-10,Inspection,91.49
MT00297,M008,2025-04-09,Emergency,4727.87
MT00298,M003,2025-06-23,Preventive,378.78
MT00299,M010,2025-09-08,Preventive,663.34
MT00300,M001,2025-08-04,Emergency,4761.31
MT00301,M019,2025-08-10,Emergency,3561.28
MT00302,M005,2025-12-31,Corrective,2441.46
MT00303,M012,2025-05-11,Corrective,1399.23
MT00304,M004,2025-06-14,Preventive,161.17
MT00305,M003,2025-01-24,Corrective,481.68
MT00306,M006,2025-04-20,Inspection,137.44
MT00307,M007,2025-02-22,Corrective,1622.47
MT00308,M004,2025-07-06,Preventive,709.11
MT00309,M008,2025-08-02,Corrective,686.44
MT00310,M009,2025-03-20,Corrective,607.32
MT00311,M014,2025-03-06,Emergency,4275.36
MT00312,M005,2025-11-18,Preventive,223.96
MT00313,M016,2025-05-16,Preventive,219.16
MT00314,M011,2025-11-27,Preventive,231.01
MT00315,M018,2025-11-13,Preventive,710.22
MT00316,M002,2025-09-10,Corrective,2008.14
MT00317,M012,2025-02-10,Corrective,1999.27
MT00318,M014,2025-02-21,Preventive,498.88
MT00319,M006,2025-04-06,Preventive,609.07
MT00320,M012,2025-07-21,Preventive,665.51
MT00321,M002,2025-08-01,Corrective,836.01
MT00322,M019,2025-07-18,Inspection,305.82
MT00323,M011,2025-02-14,Preventive,438.88
MT00324,M006,2025-10-18,Corrective,820.53
MT00325,M010,2025-10-08,Preventive,371.48
MT00326,M018,2025-03-12,Corrective,1932.12
MT00327,M006,2025-08-12,Corrective,1723.01
MT00328,M007,2025-01-04,Inspection,185.51
MT00329,M019,2025-05-26,Preventive,301.27
MT00330,M020,2025-11-15,Corrective,1521.56
MT00331,M003,2025-09-18,Corrective,1659.39
MT00332,M018,2025-07-11,Preventive,433.81
MT00333,M019,2025-10-19,Emergency,3285.73
MT00334,M017,2025-10-17,Preventive,767.95
MT00335,M004,2025-10-19,Emergency,4547.66
MT00336,M018,2025-11-18,Corrective,2437.07
MT00337,M013,2025-12-16,Corrective,647.19
MT00338,M003,2025-05-01,Emergency,3394.5
MT00339,M005,2025-12-06,Preventive,337.9
MT00340,M016,2025-07-05,Preventive,701.26
MT00341,M013,2025-06-17,Corrective,2302.67
MT00342,M007,2025-08-20,Preventive,281.76
MT00343,M017,2025-08-31,Preventive,653.87
MT00344,M014,2025-10-31,Corrective,2421.87
MT00345,M018,2025-09-14,Preventive,389.83
MT00346,M009,2025-10-04,Inspection,148.01
MT00347,M003,2025-02-15,Preventive,188.59
MT00348,M012,2025-12-10,Corrective,2212.79
MT00349,M020,2025-02-13,Preventive,314.49
MT00350,M020,2025-08-25,Preventive,757.67
MT00351,M010,2025-07-06,Corrective,1973.01
MT00352,M012,2025-02-10,Preventive,435.32
MT00353,M007,2025-02-03,Corrective,1828.68
MT00354,M015,2025-12-05,Inspection,185.77
MT00355,M018,2025-08-01,Preventive,793.3
MT00356,M020,2025-06-19,Corrective,1347.87
MT00357,M017,2025-04-07,Emergency,2197.57
MT00358,M007,2025-05-11,Emergency,1399.31
MT00359,M011,2025-10-18,Preventive,258.59
MT00360,M018,2025-02-21,Preventive,431.61
MT00361,M001,2025-08-06,Preventive,641.79
MT00362,M002,2025-09-20,Preventive,593.38
MT00363,M020,2025-01-25,Corrective,1627.97
MT00364,M010,2025-06-12,Preventive,634.35
MT00365,M002,2025-05-30,Preventive,512.93
MT00366,M008,2025-01-08,Corrective,1816.45
MT00367,M006,2025-09-03,Corrective,2437.58
MT00368,M008,2025-12-19,Preventive,659.34
MT00369,M006,2025-05-11,Preventive,261.64
MT00370,M005,2025-07-30,Preventive,358.17
MT00371,M019,2025-05-17,Corrective,1953.58
MT00372,M007,2025-04-02,Preventive,539.81
MT00373,M010,2025-07-23,Preventive,232.22
MT00374,M003,2025-01-14,Corrective,1352.45
MT00375,M005,2025-12-29,Corrective,1171.56
MT00376,M013,2025-05-02,Emergency,3111.69
MT00377,M006,2025-06-22,Inspection,224.71
MT00378,M006,2025-08-10,Corrective,440.24
MT00379,M018,2025-02-20,Corrective,614.42
MT00380,M013,2025-03-20,Preventive,403.37
MT00381,M018,2025-05-13,Inspection,92.52
MT00382,M001,2025-09-07,Preventive,545.19
MT00383,M001,2025-08-28,Corrective,1675.53
MT00384,M004,2025-12-12,Preventive,690.16
MT00385,M003,2025-12-18,Preventive,198.62
MT00386,M008,2025-06-24,Corrective,646.33
MT00387,M012,2025-01-29,Preventive,731.95
MT00388,M016,2025-05-03,Corrective,403.58
MT00389,M008,2025-07-19,Preventive,454.01
MT00390,M018,2025-09-03,Emergency,2843.04
MT00391,M003,2025-07-08,Preventive,470.02
MT00392,M011,2025-01-19,Corrective,883.88
MT00393,M007,2025-04-27,Preventive,751.22
MT00394,M013,2025-04-06,Preventive,524.0
MT00395,M009,2025-08-01,Preventive,745.53
MT00396,M008,2025-02-04,Preventive,195.47
MT00397,M020,2025-02-21,Preventive,419.47
MT00398,M018,2025-04-27,Corrective,1976.18
MT00399,M005,2025-12-21,Preventive,417.96
MT00400,M012,2025-08-10,Preventive,346.71
MT00401,M020,2025-04-19,Preventive,169.08
MT00402,M010,2025-04-16,Corrective,1851.98
MT00403,M012,2025-03-02,Preventive,683.62
MT00404,M013,2025-11-24,Preventive,430.87
MT00405,M010,2025-02-15,Preventive,422.16
MT00406,M003,2025-12-28,Preventive,635.48
MT00407,M006,2025-06-04,Preventive,484.77
MT00408,M005,2025-11-24,Preventive,722.88
MT00409,M010,2025-12-18,Preventive,482.48
MT00410,M020,2025-06-14,Corrective,1338.39
MT00411,M009,2025-11-10,Corrective,1651.79
MT00412,M015,2025-07-28,Preventive,446.45
MT00413,M008,2025-10-09,Preventive,375.24
MT00414,M016,2025-03-03,Corrective,400.26
MT00415,M001,2025-12-16,Preventive,770.49
MT00416,M007,2025-05-28,Preventive,754.26
MT00417,M009,2025-11-25,Preventive,176.59
MT00418,M015,2025-06-07,Preventive,476.97
MT00419,M015,2025-01-05,Inspection,364.79
MT00420,M007,2025-01-08,Preventive,242.13
MT00421,M007,2025-11-21,Preventive,572.98
MT00422,M004,2025-10-20,Preventive,712.68
MT00423,M013,2025-12-12,Preventive,766.55
MT00424,M014,2025-11-18,Preventive,757.32
MT00425,M005,2025-03-27,Corrective,1933.75
MT00426,M013,2025-04-06,Emergency,4788.82
MT00427,M010,2025-05-14,Corrective,825.67
MT00428,M016,2025-09-07,Preventive,547.28
MT00429,M010,2025-08-10,Corrective,1218.73
MT00430,M006,2025-11-19,Inspection,203.65
MT00431,M007,2025-09-21,Preventive,153.1
MT00432,M007,2025-02-15,Corrective,863.26
MT00433,M018,2025-09-07,Corrective,1946.96
MT00434,M004,2025-10-09,Emergency,4319.45
MT00435,M014,2025-01-01,Preventive,583.09
MT00436,M019,2025-09-05,Preventive,400.12
MT00437,M010,2025-06-01,Inspection,279.39
MT00438,M010,2025-10-04,Preventive,627.58
MT00439,M004,2025-07-01,Preventive,783.54
MT00440,M018,2025-01-22,Inspection,170.61
MT00441,M005,2025-06-17,Emergency,2593.31
MT00442,M006,2025-08-03,Corrective,2165.42
MT00443,M011,2025-09-14,Corrective,1892.46
MT00444,M003,2025-02-06,Preventive,639.66
MT00445,M013,2025-10-17,Emergency,1279.74
MT00446,M020,2025-07-08,Corrective,2248.7
MT00447,M015,2025-03-22,Corrective,1508.44
MT00448,M017,2025-01-24,Emergency,2339.95
MT00449,M001,2025-01-23,Preventive,274.3
MT00450,M008,2025-12-27,Inspection,171.39
MT00451,M003,2025-09-05,Corrective,564.54
MT00452,M007,2025-01-26,Preventive,165.94
MT00453,M008,2025-11-29,Preventive,717.62
MT00454,M012,2025-11-17,Inspection,284.3
MT00455,M004,2025-06-19,Corrective,1857.88
MT00456,M005,2025-03-13,Corrective,2461.26
MT00457,M005,2025-01-19,Corrective,813.7
MT00458,M018,2025-04-15,Preventive,247.56
MT00459,M020,2025-04-25,Corrective,1819.07
MT00460,M004,2025-02-04,Preventive,772.25
MT00461,M020,2025-11-17,Inspection,266.42
MT00462,M008,2025-08-29,Emergency,3164.3
MT00463,M006,2025-12-05,Corrective,1321.91
MT00464,M015,2025-08-28,Preventive,762.42
MT00465,M001,2025-03-22,Preventive,562.63
MT00466,M019,2025-05-31,Preventive,650.75
MT00467,M010,2025-07-28,Preventive,316.23
MT00468,M013,2025-05-14,Inspection,188.42
MT00469,M013,2025-05-19,Preventive,250.9
MT00470,M003,2025-01-12,Preventive,351.13
MT00471,M018,2025-12-13,Emergency,3543.86
MT00472,M004,2025-10-17,Corrective,1633.98
MT00473,M002,2025-12-26,Preventive,262.56
MT00474,M003,2025-10-30,Corrective,837.82
MT00475,M008,2025-01-03,Corrective,2336.39
MT00476,M010,2025-04-22,Corrective,2286.7
MT00477,M004,2025-10-24,Corrective,1985.07
MT00478,M015,2025-02-08,Corrective,1640.85
MT00479,M001,2025-05-08,Inspection,280.21
MT00480,M009,2025-01-01,Emergency,3285.84
MT00481,M010,2025-06-23,Preventive,333.87
MT00482,M019,2025-03-29,Preventive,257.96
MT00483,M001,2025-10-13,Inspection,125.47
MT00484,M009,2025-09-24,Preventive,645.42
MT00485,M014,2025-02-27,Inspection,107.67
MT00486,M014,2025-07-13,Corrective,2098.71
MT00487,M017,2025-05-20,Inspection,317.11
MT00488,M004,2025-06-19,Emergency,4777.77
MT00489,M008,2025-12-02,Corrective,678.7
MT00490,M016,2025-09-17,Preventive,159.07
MT00491,M010,2025-06-13,Corrective,560.56
MT00492,M006,2025-05-05,Corrective,767.95
MT00493,M004,2025-06-21,Corrective,1909.32
MT00494,M018,2025-03-07,Preventive,286.72
MT00495,M014,2025-06-29,Preventive,302.27
MT00496,M004,2025-09-10,Corrective,1263.87
MT00497,M014,2025-05-23,Corrective,2127.27
MT00498,M004,2025-05-21,Inspection,343.39
MT00499,M020,2025-03-29,Corrective,523.27
MT00500,M006,2025-02-21,Inspection,346.26
MT00501,M011,2025-11-29,Preventive,488.92
MT00502,M004,2025-12-12,Inspection,348.5
MT00503,M003,2025-10-10,Preventive,745.21
MT00504,M013,2025-01-28,Preventive,179.67
MT00505,M012,2025-04-08,Inspection,159.99
MT00506,M019,2025-06-22,Corrective,2440.5
MT00507,M019,2025-09-18,Preventive,159.58
MT00508,M018,2025-05-19,Emergency,1454.75
MT00509,M011,2025-03-13,Corrective,1300.48
MT00510,M013,2025-02-11,Preventive,406.89
MT00511,M013,2025-03-15,Corrective,1578.06
MT00512,M018,2025-04-03,Corrective,1567.59
MT00513,M015,2025-08-28,Corrective,2412.49
MT00514,M020,2025-10-07,Preventive,279.19
MT00515,M016,2025-09-30,Preventive,585.17
MT00516,M012,2025-08-16,Corrective,2447.16
MT00517,M009,2025-01-07,Corrective,1396.07
MT00518,M018,2025-01-01,Emergency,1122.53
MT00519,M004,2025-09-22,Preventive,290.12
MT00520,M010,2025-12-27,Preventive,695.08
MT00521,M003,2025-03-30,Preventive,690.16
MT00522,M001,2025-06-04,Corrective,975.46
MT00523,M019,2025-06-01,Preventive,451.89
MT00524,M005,2025-11-17,Corrective,2072.45
MT00525,M010,2025-10-16,Preventive,526.77
MT00526,M003,2025-01-09,Inspection,269.04
MT00527,M020,2025-08-03,Corrective,874.76
MT00528,M002,2025-05-22,Preventive,317.91
MT00529,M003,2025-11-13,Preventive,278.77
MT00530,M015,2025-01-23,Preventive,654.44
MT00531,M001,2025-07-19,Preventive,401.61
MT00532,M013,2025-02-24,Preventive,511.63
MT00533,M010,2025-05-18,Inspection,334.78
MT00534,M005,2025-10-03,Corrective,2071.42
MT00535,M017,2025-01-16,Emergency,2954.99
MT00536,M017,2025-09-29,Preventive,747.11
MT00537,M018,2025-02-06,Corrective,1217.39
MT00538,M008,2025-07-21,Corrective,2039.56
MT00539,M002,2025-05-11,Inspection,184.5
MT00540,M010,2025-08-14,Preventive,474.0
MT00541,M008,2025-08-25,Preventive,657.34
MT00542,M013,2025-07-29,Inspection,128.87
MT00543,M003,2025-12-29,Emergency,2632.66
MT00544,M019,2025-12-05,Emergency,3708.12
MT00545,M016,2025-05-31,Emergency,3942.43
MT00546,M003,2025-03-22,Inspection,366.17
MT00547,M002,2025-01-15,Preventive,604.19
MT00548,M017,2025-07-19,Preventive,749.09
MT00549,M005,2025-05-05,Inspection,111.96
MT00550,M018,2025-10-07,Inspection,264.31
MT00551,M009,2025-06-27,Corrective,1925.96
MT00552,M010,2025-12-02,Preventive,462.93
MT00553,M003,2025-07-07,Corrective,2136.62
MT00554,M011,2025-03-23,Inspection,204.25
MT00555,M009,2025-06-27,Preventive,215.54
MT00556,M013,2025-08-08,Preventive,422.74
MT00557,M004,2025-02-18,Preventive,781.24
MT00558,M016,2025-03-02,Preventive,161.67
MT00559,M001,2025-09-25,Corrective,1854.43
MT00560,M019,2025-11-17,Corrective,802.7
MT00561,M016,2025-07-08,Corrective,1725.41
MT00562,M014,2025-04-06,Inspection,138.37
MT00563,M015,2025-06-23,Preventive,423.67
MT00564,M008,2025-06-28,Preventive,271.9
MT00565,M017,2025-11-07,Inspection,286.6
MT00566,M017,2025-10-02,Preventive,421.56
MT00567,M017,2025-09-16,Preventive,631.28
MT00568,M009,2025-04-08,Inspection,145.33
MT00569,M020,2025-03-16,Preventive,718.24
MT00570,M007,2025-09-11,Corrective,674.64
MT00571,M001,2025-03-05,Corrective,535.55
MT00572,M019,2025-05-04,Preventive,503.69
MT00573,M001,2025-04-22,Preventive,332.37
